job_name,target,date,day_of_week,day_name,is_holiday,is_payday,Orbit + XGBoost,Prophet + XGBoost,Holt-Winters + XGBoost,RF + ETS + LightGBM,Ensamble Automático
forecast_ordenes_total_dia,ordenes,2026-04-12,6,Sunday,0,0,50489.52131203649,43097.307772092456,48059.38155939443,45424.24530671628,45509.14142926522
forecast_ordenes_total_dia,ordenes,2026-04-13,0,Monday,0,0,43059.7415209426,34577.703597056556,41094.75109985458,38086.63844442828,37914.304177514314
forecast_ordenes_total_dia,ordenes,2026-04-14,1,Tuesday,0,0,43007.62572670146,36040.27708111147,41661.99509824676,39121.47872329047,38142.09080920621
forecast_ordenes_total_dia,ordenes,2026-04-15,2,Wednesday,0,1,43259.415120941354,35913.34616432464,41191.16900085905,38598.689471495294,37738.65264288114
forecast_ordenes_total_dia,ordenes,2026-04-16,3,Thursday,0,0,46379.12646223035,38668.841172883156,43115.59749446128,40323.76854291499,41151.10617474913
forecast_ordenes_total_dia,ordenes,2026-04-17,4,Friday,0,0,47496.39674373646,42638.58734413298,47323.772230420356,44531.94327887407,43990.2880116607
forecast_ordenes_total_dia,ordenes,2026-04-18,5,Saturday,0,0,52490.12383643667,44275.42916131196,50067.6616031561,47516.61951196724,46336.65084972461
forecast_ordenes_total_dia,ordenes,2026-04-19,6,Sunday,0,0,50294.379472347166,43069.25691803247,48352.92885361154,45859.29384069701,45453.26512363101
forecast_ordenes_total_dia,ordenes,2026-04-20,0,Monday,0,0,43716.16753365193,34815.7381981924,41418.06499563418,38381.06652185959,38312.550796954696
forecast_ordenes_total_dia,ordenes,2026-04-21,1,Tuesday,0,0,43790.34297103582,36570.686336236104,42105.67117664356,39668.19406350069,38746.071979857494
forecast_ordenes_total_dia,ordenes,2026-04-22,2,Wednesday,0,0,43728.31981820399,36621.523367523616,41696.7183321245,39177.66830913067,38387.0556168504
forecast_ordenes_total_dia,ordenes,2026-04-23,3,Thursday,0,0,47402.492252300406,39740.96700598074,43638.748034413555,40787.37139059759,42198.38431073237
forecast_ordenes_total_dia,ordenes,2026-04-24,4,Friday,0,0,47829.435410805614,43945.24239347876,47846.922770372636,44995.54612655667,45016.875974632036
forecast_ordenes_total_dia,ordenes,2026-04-25,5,Saturday,0,0,53599.19486427428,45843.49373331406,50590.812115451816,48041.59419241601,47756.999383043396
forecast_ordenes_total_dia,ordenes,2026-04-26,6,Sunday,0,0,50940.94414916513,44886.64160233087,48876.07905310208,46425.21527391468,46849.51149850202
forecast_ordenes_total_dia,ordenes,2026-04-27,0,Monday,0,0,44043.794458892444,36774.14321875888,41924.589218562236,38946.98795507726,39618.04464613983
forecast_ordenes_total_dia,ordenes,2026-04-28,1,Tuesday,0,0,43939.53440882289,38676.11951672945,42441.41500406379,39981.82823393945,40254.00826795839
forecast_ordenes_total_dia,ordenes,2026-04-29,2,Wednesday,0,0,43724.68631648674,38850.229305621564,41987.21496716192,39459.038982144266,40054.586400111046
forecast_ordenes_total_dia,ordenes,2026-04-30,3,Thursday,0,1,46946.24953724482,42157.94569388174,43929.24466945097,41068.742063611186,43674.07981126309
forecast_ordenes_total_dia,ordenes,2026-05-01,4,Friday,1,0,48756.984665766155,45396.41036261103,46661.92094654775,43327.41981916349,46178.95587454722
